title,harga,lokasi,tanggal,terjangkau_internet,dibangun,carport,pemandangan,kondisi_properti,konsep_dan_gaya_rumah,listrik,sumber_air,lantai,kamar_mandi,material_lantai,kamar_pembantu,hadap,direnovasi,sertifikat,material_bangunan,lebar_jalan,perabotan,kamar_tidur,luas_bangunan,dapur,ruang_tamu,ruang_makan,hook,garasi,kamar_mandi_pembantu,luas_tanah,kitchen_set,tempat_jemuran,tempat_laundry,one_gate_system,keamanan,kompor,jalur_telepon,keamanan_24_jam,taman,pemanas_air,mesin_cuci,kulkas,masjid,kolam_renang,ac,cctv,wastafel,playground,akses_parkir,kolam_ikan,ac.1,tipe
RUMAH MINIMALIS MODERN DI TABANAN | Rumah123,425000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,5500,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,45,0,False,False,False,0,False,90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH DI KETEWEL IDR 425 JT NEGO | Rumah123,425000000,Gianyar,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,55,0,False,False,False,0,False,75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
"Dijual Murah Rumah Minimalis Ready Unit di Area Gubug, Tabanan. | Rumah123",430000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,2200,Sumur Bor,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Semi Furnished,2.0,30,1,False,False,False,0,False,60,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,rumah
Di jual rumah minimalis Singaraja 10 menit ke pantai | Rumah123,450000000,Buleleng,2024-06-13,True,2022.0,0,Perkotaan,Bagus,Minimalis,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,47,1,True,True,False,1,False,100,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,rumah
RUMAH ONE GATE ROYAL GRIYA LOKA TABANAN | Rumah123,450000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,45,0,False,False,False,0,False,90,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
Rumah Minimalis Dekat Pasar Kodok Tabanan | Rumah123,450000000,Tabanan,2024-06-13,True,2022.0,1,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Keramik,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,"Batako, Bata Merah",2 Mobil,Unfurnished,2.0,50,1,True,True,False,0,False,70,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,rumah
Rumah Lantai 2 Konsep Modern Ekslusive Super Murah Di Kota Tabanan | Rumah123,475000000,Tabanan,2024-06-13,True,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,Sumur Bor,2.0,1.0,"Granit, Keramik, Ubin",False,Selatan,2022.0,SHM - Sertifikat Hak Milik,"Batako, Beton, Bata Merah",2 Mobil,Unfurnished,2.0,55,1,True,True,False,1,False,60,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,rumah
Dijual rumah struktur 2 lantai lokasi sesetan denpasar selatan | Rumah123,499000000,Denpasar,2024-06-13,False,2022.0,1,Pemukiman Warga,Bagus,Minimalis Modern,5500,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,30,1,False,False,False,0,False,50,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,rumah
Dijual rumah struktur 2 lantai lokasi sesetan denpasar selatan | Rumah123,499000000,Denpasar,2024-06-13,False,2022.0,1,Pemukiman Warga,Bagus,Minimalis Modern,5500,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,30,1,False,False,False,0,False,50,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH TABANAN | Rumah123,500000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,900,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,45,0,False,False,False,0,False,100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
